sed -n '1,260p' \
  src/helico_sensors/helico_sensors/serial_bridge.pytimestamp,laser,force,pressure,cycle_state,step_index,trajectory_name
2026-09-23T14:34:56.374+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:56.476+01:00,,,,PREPARING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:56.577+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:56.677+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:56.777+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:56.876+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:56.977+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:57.076+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:57.176+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:57.276+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:57.376+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:57.476+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:57.577+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:57.676+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:57.776+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:57.876+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:57.976+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:58.076+01:00,,,,RUNNING,1,meca_zero_TO_EdgeCase2
2026-09-23T14:34:58.176+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:58.277+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:58.376+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:58.476+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:58.576+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:58.677+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:58.776+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:58.876+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:58.976+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:59.076+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:59.176+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:59.276+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:59.376+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:59.476+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:59.577+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:59.677+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:59.777+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:59.876+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:34:59.976+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:00.077+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:00.177+01:00,,,,PAUSED,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:00.276+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:00.377+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:00.476+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:00.576+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:00.677+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:00.777+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:00.876+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:00.976+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:01.077+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:01.177+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:01.276+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:01.376+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:01.477+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:01.576+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:01.677+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:01.777+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:01.876+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:01.976+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:02.076+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:02.177+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:02.277+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:02.376+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:02.476+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:02.576+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:02.677+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:02.777+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:02.876+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:02.976+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:03.077+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:03.177+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:03.276+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:03.376+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:03.476+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:03.576+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:03.677+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:03.776+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:03.876+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:03.976+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
2026-09-23T14:35:04.077+01:00,,,,RUNNING,2,EdgeCase2_TO_EdgeCase
